|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Letter Input ActAvg,#Music Input ActAvg,#Letter Hidden ActAvg,#Letter Output ActAvg,#Hidden Context ActAvg,#Music Hidden ActAvg,#Music Output ActAvg,#Associator Layer ActAvg
0,64,0.159,0.0318,0.2,0.8,0.8718,0.4163,0.19,0.1333,0.09501,0.1543,0.1745,0.19,0.15
0,65,0.08467,0.01693,0.1,0.9,0.93,0.4174,0.19,0.1334,0.09501,0.1535,0.1712,0.19,0.15
0,66,0,0,0,1,0.9914,0.4174,0.19,0.1333,0.09501,0.1537,0.1721,0.19,0.15
0,67,0,0,0,1,0.9917,0.4174,0.19,0.1332,0.09501,0.1538,0.1729,0.19,0.15
0,68,0.08127,0.01625,0.1,0.9,0.9321,0.4175,0.19,0.1331,0.09501,0.1539,0.1737,0.19,0.15
0,69,0.0853,0.01706,0.1,0.9,0.9285,0.4175,0.19,0.1331,0.09501,0.1539,0.1743,0.19,0.15
0,70,0.08475,0.01695,0.1,0.9,0.9341,0.4183,0.19,0.1333,0.09501,0.1532,0.171,0.19,0.15
0,71,0.08323,0.01665,0.1,0.9,0.9348,0.4182,0.19,0.1332,0.095,0.1534,0.1719,0.19,0.15
0,72,0.08358,0.01672,0.1,0.9,0.9349,0.4182,0.19,0.1331,0.095,0.1535,0.1727,0.19,0.15
0,73,0.08563,0.01713,0.1,0.9,0.9322,0.4182,0.19,0.1331,0.095,0.1536,0.1734,0.19,0.15
0,74,0.01889,0.001889,0.1,0.9,0.9871,0.4181,0.19,0.133,0.095,0.1537,0.1741,0.19,0.15
0,75,0,0,0,1,0.9962,0.4154,0.19,0.1333,0.095,0.1534,0.1711,0.19,0.15
0,76,0.0832,0.01664,0.1,0.9,0.9353,0.4156,0.19,0.1332,0.095,0.1535,0.172,0.19,0.15
0,77,0.08602,0.0172,0.1,0.9,0.9353,0.4158,0.19,0.1331,0.095,0.1536,0.1728,0.19,0.15
0,78,0,0,0,1,0.9963,0.416,0.19,0.1331,0.095,0.1536,0.1734,0.19,0.15
0,79,0,0,0,1,0.9965,0.4162,0.19,0.133,0.095,0.1537,0.1741,0.19,0.15
0,80,0.08348,0.0167,0.1,0.9,0.9361,0.4172,0.19,0.1332,0.095,0.153,0.1708,0.19,0.15
0,81,0.2156,0.03021,0.3,0.7,0.8592,0.4173,0.19,0.1331,0.095,0.1531,0.1716,0.19,0.15
0,82,0.02895,0.002895,0.1,0.9,0.9814,0.4173,0.19,0.1331,0.095,0.1532,0.1724,0.19,0.15
0,83,0.0263,0.00263,0.1,0.9,0.9818,0.4174,0.19,0.1331,0.095,0.1533,0.1731,0.19,0.15
0,84,0,0,0,1,0.9917,0.4174,0.19,0.1331,0.095,0.1534,0.1738,0.19,0.15
0,85,0,0,0,1,0.9939,0.4182,0.19,0.1333,0.095,0.1528,0.1706,0.19,0.15
0,86,0,0,0,1,0.9944,0.4182,0.19,0.1333,0.095,0.153,0.1715,0.19,0.15
0,87,0,0,0,1,0.9946,0.4181,0.19,0.1333,0.095,0.1532,0.1724,0.19,0.15
0,88,0,0,0,1,0.9964,0.4181,0.19,0.1332,0.095,0.1534,0.1731,0.19,0.15
0,89,0,0,0,1,0.9967,0.4181,0.19,0.1332,0.095,0.1535,0.1738,0.19,0.15
0,90,0,0,0,1,0.9969,0.4153,0.19,0.1335,0.095,0.1532,0.1708,0.19,0.15
0,91,0,0,0,1,0.9955,0.4156,0.19,0.1335,0.095,0.1534,0.1717,0.19,0.15
0,92,0,0,0,1,0.9966,0.4158,0.19,0.1334,0.095,0.1535,0.1725,0.19,0.15
0,93,0,0,0,1,0.9954,0.416,0.19,0.1334,0.095,0.1535,0.1732,0.19,0.15
0,94,0,0,0,1,0.9967,0.4161,0.19,0.1334,0.095,0.1536,0.1738,0.19,0.15
0,95,0.08249,0.0165,0.1,0.9,0.9329,0.4137,0.19,0.1337,0.095,0.1532,0.1708,0.19,0.15
0,96,0.116,0.02036,0.2,0.8,0.9194,0.4141,0.19,0.1337,0.095,0.1533,0.1717,0.19,0.15
0,97,0.08687,0.01737,0.1,0.9,0.9338,0.4145,0.19,0.1337,0.095,0.1534,0.1724,0.19,0.15
0,98,0,0,0,1,0.995,0.4148,0.19,0.1337,0.095,0.1534,0.1731,0.19,0.15
