|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Letter Input ActAvg,#Music Input ActAvg,#Letter Hidden ActAvg,#Letter Output ActAvg,#Shared Hidden ActAvg,#Music Hidden ActAvg,#Music Hidden Context ActAvg,#Music Output ActAvg,#Associator Layer ActAvg
0,189,0.07068,0.01414,0.1,0.9,0.9404,0.4174,0.19,0.14,0.095,0.1598,0.1509,0.151,0.19,0.15
0,190,0,0,0,1,0.9978,0.4163,0.19,0.1393,0.095,0.1589,0.1476,0.1481,0.19,0.15
0,191,0.08828,0.01766,0.1,0.9,0.9364,0.4164,0.19,0.1395,0.095,0.1595,0.1487,0.149,0.19,0.15
0,192,0.1196,0.02075,0.1,0.9,0.9057,0.4166,0.19,0.1396,0.095,0.1599,0.1497,0.15,0.19,0.15
0,193,0,0,0,1,0.9982,0.4167,0.19,0.1396,0.095,0.1601,0.1503,0.1507,0.19,0.15
0,194,0,0,0,1,0.9989,0.4168,0.19,0.1396,0.095,0.1598,0.1509,0.1512,0.19,0.15
0,195,0,0,0,1,0.9978,0.4146,0.19,0.1391,0.095,0.1589,0.1477,0.148,0.19,0.15
0,196,0.02367,0.002367,0.1,0.9,0.9814,0.4149,0.19,0.1393,0.095,0.1595,0.1487,0.149,0.19,0.15
0,197,0.0225,0.00225,0.1,0.9,0.9845,0.4152,0.19,0.1394,0.095,0.1599,0.1497,0.1499,0.19,0.15
0,198,0,0,0,1,0.9988,0.4154,0.19,0.1393,0.095,0.1598,0.1504,0.1506,0.19,0.15
0,199,0,0,0,1,0.9988,0.4157,0.19,0.1393,0.095,0.1596,0.1509,0.1512,0.19,0.15
